"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034329","GO:0034329","cell junction assembly","37/675","438/22853",1.17604013617938e-08,4.52515975713307e-06,3.797284893497e-06,"Adgre5/Mef2c/Ptprs/Lims1/Numb/Dmtn/Ctnnd2/Plec/Ptk2/App/Epb41l3/Nrxn1/Nedd4l/Sorbs1/Map4k4/Fn1/Abi2/Src/Adgrl2/Macf1/Ophn1/Nlgn3/Cadm1/Ephb1/Phldb2/Fermt2/Limch1/Rapgef1/Dnm3/Agrn/Camsap3/Eif4g1/Taok2/Nrg1/Clasp1/Afdn/Cldn34c1",37
"GO:0048193","GO:0048193","Golgi vesicle transport","28/675","273/22853",1.21020541755286e-08,4.52515975713307e-06,3.797284893497e-06,"Lman2l/Cul3/Ergic3/Gopc/Mia2/Arf4/Spire1/Yif1a/Vti1a/Rab14/Sec23b/Nbea/Macf1/Nrbp1/Ap1g1/Rab6b/Atp2c1/Myo5a/Dop1a/Exoc1/Kif16b/Lyplal1/Sec24c/Ap1g2/Arf3/Sec22c/Sort1/Ap1ar",28
"GO:0001764","GO:0001764","neuron migration","23/675","195/22853",1.81931058598279e-08,6.27942046100367e-06,5.2693716324376e-06,"Mef2c/Nsmf/Nav1/Top2b/Sema6a/Fyn/Lrp12/Ptk2/Mark2/Lhx6/Dab1/Auts2/Flna/Pcm1/Neo1/Zswim6/Aspm/Apbb1/Pex2/Fbxo31/Phactr1/Nrg1/Ctnna2",23
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","34/675","389/22853",2.00594386149484e-08,6.42905007609096e-06,5.39493322749402e-06,"Pfdn5/Mef2c/Apc/Git1/Nin/Evl/Dmtn/Mtss1/App/Bin1/Spire1/Add3/Abi2/Camsap1/Add1/Cyfip1/Fchsd2/Flna/Pik3r2/Dctn1/Tmod2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Bmerb1/Camsap3/Clip1/Sptan1/Gmfb/Ctnna2/Clasp1/Ap1ar",34
"GO:0099175","GO:0099175","regulation of postsynapse organization","17/675","111/22853",2.791099714173e-08,8.34910961166282e-06,7.00614994919074e-06,"Tsc2/Ptprs/Fyn/Nrcam/Arf4/App/Nrxn1/Ube3a/Epha4/Abi2/Cask/Nlgn3/Ptprf/Opa1/Srcin1/Dnm3/Afdn",17
"GO:0031346","GO:0031346","positive regulation of cell projection organization","36/675","440/22853",4.19601807884619e-08,1.17672081998643e-05,9.87444517633738e-06,"Tsc2/Eif2b2/Apc/Retreg3/Fyn/Sirt1/Rtn4/Nin/Numb/Mark2/Fn1/Epha4/Abi2/Src/Macf1/Auts2/Ezh2/Cyfip1/Cask/Flna/Plxna3/Tenm3/Trak1/Nckipsd/Ptprf/Apbb1/Sh3glb1/Opa1/Rapgef1/Dnm3/Agrn/Clip1/Fbxo31/Ap2a1/Nrg1/Afdn",36
"GO:0016482","GO:0016482","cytosolic transport","20/675","158/22853",4.70483237238504e-08,1.24179899146422e-05,1.04205482328305e-05,"Spag9/Dab2/Sybu/Vti1a/Rab14/Stx16/Src/Erc1/Flna/Aktip/Ap1g1/Dctn1/Rab6b/Dop1a/Dennd5a/Sh3glb1/Kif16b/Kif1b/Sort1/Ap1ar",20
"GO:0150115","GO:0150115","cell-substrate junction organization","16/675","102/22853",5.0430277571898e-08,1.25711475258393e-05,1.05490703435485e-05,"Lims1/Dmtn/Plec/Ptk2/Sorbs1/Map4k4/Fn1/Src/Lamtor2/Macf1/Phldb2/Fermt2/Limch1/Camsap3/Taok2/Clasp1",16
"GO:0007044","GO:0007044","cell-substrate junction assembly","15/675","96/22853",1.38943331617466e-07,3.28125646825038e-05,2.75346425039157e-05,"Lims1/Dmtn/Plec/Ptk2/Sorbs1/Map4k4/Fn1/Src/Macf1/Phldb2/Fermt2/Limch1/Camsap3/Taok2/Clasp1",15
"GO:1901888","GO:1901888","regulation of cell junction assembly","23/675","220/22853",1.71280880636643e-07,3.84268655708308e-05,3.22458794756458e-05,"Adgre5/Mef2c/Ptprs/Lims1/Dmtn/Ptk2/App/Nrxn1/Nedd4l/Map4k4/Src/Adgrl2/Macf1/Nlgn3/Ephb1/Phldb2/Fermt2/Limch1/Rapgef1/Agrn/Camsap3/Eif4g1/Clasp1",23
"GO:0006892","GO:0006892","post-Golgi vesicle-mediated transport","15/675","99/22853",2.10746931436752e-07,4.50295943503192e-05,3.77865550751509e-05,"Gopc/Vti1a/Rab14/Nbea/Macf1/Ap1g1/Atp2c1/Myo5a/Dop1a/Exoc1/Kif16b/Lyplal1/Ap1g2/Sort1/Ap1ar",15
"GO:0010977","GO:0010977","negative regulation of neuron projection development","19/675","161/22853",3.1030236452445e-07,6.32875777100548e-05,5.31077300432515e-05,"Tsc2/Ptprs/Sema6a/Rtn4/Dab2/Ptk2/Slit1/Ube3a/Epha4/Vim/Dync1i2/Sema6d/Dab1/Nlgn3/Flna/Plxna3/Neo1/Dennd5a/Dnm3",19
"GO:0030900","GO:0030900","forebrain development","32/675","397/22853",3.31878318123724e-07,6.47451310183109e-05,5.43308349624055e-05,"Ptprs/Top2b/Fyn/Rtn4/Nin/Numb/App/Arl13b/Tcf7l2/Slit1/Lhx6/Src/Dab1/Ncor2/Ophn1/Atrx/Plxna3/Pcm1/Aplp2/Cul5/Zswim6/Szt2/Aspm/Dpcd/Sun2/Emx2/Bmerb1/Bcl11b/Plcb1/Phactr1/Nrg1/Afdn",32
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","16/675","120/22853",5.04519523078541e-07,9.43241291688922e-05,7.91520321952606e-05,"Lims1/Numb/Dmtn/Dab2/Ptk2/Epha4/Cask/Flna/Ptprf/Sh3glb1/Fermt2/Opa1/Ttc3/Fbxo31/Afdn/Ap1ar",16
"GO:0032271","GO:0032271","regulation of protein polymerization","23/675","235/22853",5.58089621984868e-07,0.000100165925353844,8.40541716985209e-05,"Apc/Git1/Nin/Evl/Dmtn/Bin1/Spire1/Add3/Abi2/Camsap1/Add1/Cyfip1/Fchsd2/Pik3r2/Dctn1/Tmod2/Tpm1/Camsap3/Clip1/Sptan1/Gmfb/Ctnna2/Ap1ar",23
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","24/675","254/22853",6.04747662376291e-07,0.000104365490810862,8.75782343449389e-05,"Git1/Atad1/Sirt2/Pls3/Itsn2/Numb/Scrib/Nrxn1/Bin1/Stxbp1/Dnm1/Erc1/Cyfip1/Apba2/Cask/Gripap1/Ophn1/Nlgn3/Ap1s2/Nedd4/Dnm3/Erc2/Syn3/Nrg1",24
"GO:0006325","GO:0006325","chromatin organization","35/675","473/22853",7.14676901712465e-07,0.00011876871325866,9.96646891783815e-05,"Mcm3ap/Kmt2a/Brd8/Ezh1/Kansl1/Sirt1/Tlk2/Dek/Banp/Smarcc2/Usp16/Tbl1xr1/Hp1bp3/Meaf6/Ing3/Ezh2/Cbx3/Atrx/Usp3/Hdac11/Rsf1/Rif1/Apbb1/Smarce1/Rccd1/L3mbtl3/Arid4b/Rere/Kmt5b/Kmt5a/Srcap/Fam172a/Setdb2/Mta2/Chd2",35
"GO:0150116","GO:0150116","regulation of cell-substrate junction organization","12/675","69/22853",7.55691487140509e-07,0.000121099560814267,0.000101620618402316,"Lims1/Dmtn/Ptk2/Map4k4/Src/Lamtor2/Macf1/Phldb2/Fermt2/Limch1/Camsap3/Clasp1",12
"GO:0051258","GO:0051258","protein polymerization","26/675","295/22853",7.93940048414169e-07,0.000122841689559806,0.000103082524616242,"Apc/Git1/Nin/Evl/Dmtn/Mtss1/Bin1/Spire1/Add3/Abi2/Camsap1/Add1/Cyfip1/Fchsd2/Pik3r2/Dctn1/Tmod2/Tpm1/Tubgcp5/Camsap3/Clip1/Sptan1/Gmfb/Ctnna2/Clasp1/Ap1ar",26
"GO:0098884","GO:0098884","postsynaptic neurotransmitter receptor internalization","8/675","28/22853",1.02352132075978e-06,0.000148146456975778,0.000124317003883114,"Atad1/Sirt2/Numb/Scrib/Ophn1/Nedd4/Dnm3/Nrg1",8
"GO:0140239","GO:0140239","postsynaptic endocytosis","8/675","28/22853",1.02352132075978e-06,0.000148146456975778,0.000124317003883114,"Atad1/Sirt2/Numb/Scrib/Ophn1/Nedd4/Dnm3/Nrg1",8
"GO:1902905","GO:1902905","positive regulation of supramolecular fiber organization","21/675","209/22853",1.12362217432037e-06,0.000157552896755485,0.000132210411761315,"Apc/Git1/Nin/Evl/Mtss1/App/Bin1/Spire1/Abi2/Cyfip1/Fchsd2/Flna/Dctn1/Tpm1/Fermt2/Limch1/Sh3pxd2b/Clip1/Gmfb/Ctnna2/Ap1ar",21
"GO:0048041","GO:0048041","focal adhesion assembly","13/675","86/22853",1.39313597602868e-06,0.000189424276498203,0.000158955259529652,"Lims1/Dmtn/Ptk2/Sorbs1/Map4k4/Src/Macf1/Phldb2/Fermt2/Limch1/Camsap3/Taok2/Clasp1",13
"GO:0043112","GO:0043112","receptor metabolic process","20/675","195/22853",1.46130767407212e-06,0.000192849633340047,0.000161829645515664,"Git1/Atad1/Sirt2/Numb/Dab2/Scrib/App/Dnm1/Ophn1/Nedd4/Sh3glb1/Smurf1/Kif16b/Dnm3/Agrn/Atxn2/Gprasp1/Nrg1/Ap1ar/Synj2bp",20
"GO:0043087","GO:0043087","regulation of GTPase activity","27/675","326/22853",1.63556778836949e-06,0.000209679790468969,0.000175952661022486,"Sipa1l2/Tsc2/Evi5l/Lims1/Eif5/Gpr137b/Asap1/Scrib/Cblb/Bin1/Map4k4/Epha4/Gapvd1/Arhgap1/Gnas/Ezh2/Plxna3/Fermt2/Rapgef1/Tax1bp3/Agrn/Wnk1/Asap2/Rrp1b/Lrch1/Afdn/Rhog",27
"GO:1990778","GO:1990778","protein localization to cell periphery","29/675","368/22853",1.85363282513292e-06,0.00023103473573254,0.000193872649576037,"Tsc2/Git1/Gopc/Numb/Camk2g/Dab2/Nubp1/Scrib/Arl13b/Epb41l3/Nrxn1/Sorbs1/Stxbp1/Macf1/Cask/Gripap1/Flna/Pik3r2/Atp2c1/Ank2/Myo5a/Lyplal1/Gphn/Clip1/Dpp6/Kif1b/Afdn/Rhog/Ehd2",29
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","33/675","452/22853",1.98606795736518e-06,0.000240850997964799,0.000202109959701145,"Apc/Git1/Sirt2/Nin/Evl/Ankra2/Dmtn/Asap1/Bin1/Spire1/Add3/Abi2/Stxbp1/Camsap1/Src/Add1/Tfip11/Cyfip1/Fchsd2/Pik3r2/Dctn1/Tmod2/Tpm1/Sh3glb1/Fermt2/Camsap3/Eif4g1/Clip1/Sptan1/Gmfb/Nrg1/Ctnna2/Ap1ar",33
"GO:0030100","GO:0030100","regulation of endocytosis","22/675","237/22853",2.37210247198892e-06,0.000263332958357165,0.000220975682273604,"Epn2/Tsc2/Atad1/Sirt2/Numb/Dab2/Scrib/App/Bin1/Smap1/Dnm1/Src/Add1/Ophn1/Nedd4/Rubcn/Arhgap21/Atxn2/Aak1/Ap2a1/Nrg1/Synj2bp",22
"GO:0007015","GO:0007015","actin filament organization","33/675","456/22853",2.40282818431137e-06,0.000263332958357165,0.000220975682273604,"Cul3/Mprip/Pls3/Elmo2/Evl/Dmtn/Mtss1/Plec/Bin1/Spire1/Sorbs1/Add3/Abi2/Src/Add1/Cyfip1/Fchsd2/Flna/Pik3r2/Tmod2/Tpm1/Phldb2/Myo5a/Fermt2/Limch1/Sh3pxd2b/Phactr1/Sptan1/Gmfb/Ctnna2/Clasp1/Rhog/Ap1ar",33
"GO:0021537","GO:0021537","telencephalon development","23/675","256/22853",2.45883630104813e-06,0.000263332958357165,0.000220975682273604,"Ptprs/Rtn4/Nin/Numb/Arl13b/Slit1/Lhx6/Dab1/Ncor2/Plxna3/Cul5/Zswim6/Szt2/Aspm/Dpcd/Sun2/Emx2/Bmerb1/Bcl11b/Plcb1/Phactr1/Nrg1/Afdn",23
"GO:0051893","GO:0051893","regulation of focal adhesion assembly","11/675","64/22853",2.46489508602651e-06,0.000263332958357165,0.000220975682273604,"Lims1/Dmtn/Ptk2/Map4k4/Src/Macf1/Phldb2/Fermt2/Limch1/Camsap3/Clasp1",11
"GO:0090109","GO:0090109","regulation of cell-substrate junction assembly","11/675","64/22853",2.46489508602651e-06,0.000263332958357165,0.000220975682273604,"Lims1/Dmtn/Ptk2/Map4k4/Src/Macf1/Phldb2/Fermt2/Limch1/Camsap3/Clasp1",11
"GO:0021932","GO:0021932","hindbrain radial glia guided cell migration","6/675","15/22853",2.58835777051334e-06,0.000266061932597692,0.000223265699248576,"Arl13b/Dab1/Flna/Cul5/Rere/Ctnna2",6
"GO:0050770","GO:0050770","regulation of axonogenesis","19/675","185/22853",2.60903165462412e-06,0.000266061932597692,0.000223265699248576,"Tsc2/Eif2b2/Ptprs/Sema6a/Rtn4/Nin/Ptk2/Mark2/Slit1/Fn1/Epha4/Vim/Sema6d/Dab1/Macf1/Cyfip1/Plxna3/Trak1/Nrg1",19
"GO:0043242","GO:0043242","negative regulation of protein-containing complex disassembly","13/675","91/22853",2.68088428087911e-06,0.000267313950406768,0.000224316329186072,"Apc/Evl/Dmtn/Add3/Camsap1/Add1/Tmod2/Tpm1/Rubcn/Bmerb1/Camsap3/Sptan1/Clasp1",13
"GO:0010720","GO:0010720","positive regulation of cell development","29/675","377/22853",2.9927170686817e-06,0.000288379948701277,0.000241993848076775,"Eif2b2/Sirt2/Lims1/Rtn4/Nin/Numb/Dmtn/Dab2/Ptk2/Bin1/Fn1/Epha4/Vim/Macf1/Add1/Cyfip1/Cask/Flna/Plxna3/Faim/Trak1/Ptprf/Aspm/Sh3glb1/Fermt2/Opa1/Fbxo31/Nrg1/Afdn",29
"GO:0021535","GO:0021535","cell migration in hindbrain","7/675","23/22853",3.08496490698936e-06,0.000288379948701277,0.000241993848076775,"Arl13b/Dab1/Flna/Cul5/Ephb1/Rere/Ctnna2",7
"GO:0099149","GO:0099149","regulation of postsynaptic neurotransmitter receptor internalization","7/675","23/22853",3.08496490698936e-06,0.000288379948701277,0.000241993848076775,"Atad1/Sirt2/Numb/Scrib/Ophn1/Nedd4/Nrg1",7
"GO:0051962","GO:0051962","positive regulation of nervous system development","28/675","358/22853",3.21724628869836e-06,0.000294607838722235,0.000247219977973663,"Adgre5/Eif2b2/Rtn4/Nin/Numb/Ptk2/Nrxn1/Bin1/Fn1/Epha4/Vim/Adgrl2/Macf1/Cyfip1/Cask/Nlgn3/Plxna3/Faim/Trak1/Ephb1/Ptprf/Aspm/Sh3glb1/Opa1/Agrn/Fbxo31/Nrg1/Afdn",28
"GO:0051017","GO:0051017","actin filament bundle assembly","18/675","172/22853",3.64581750055244e-06,0.000327175662499576,0.00027454924630476,"Cul3/Pls3/Evl/Dmtn/Mtss1/Spire1/Sorbs1/Src/Add1/Flna/Pik3r2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Phactr1/Clasp1",18
"GO:0022411","GO:0022411","cellular component disassembly","30/675","402/22853",3.73477814625857e-06,0.00032858724592671,0.0002757337756278,"Fbxo7/Apc/Tafazzin/Retreg3/Evl/Dmtn/Acin1/Add3/Smarcc2/Map4k4/Epha4/Camsap1/Fbxw7/Asph/Add1/Tfip11/Dctn1/Tmod2/Tpm1/Snx14/Vps13c/Rubcn/Smarce1/Smurf1/Sh3pxd2b/Bmerb1/Camsap3/Sptan1/Nrg1/Clasp1",30
"GO:0106027","GO:0106027","neuron projection organization","14/675","109/22853",4.05745529972057e-06,0.000350111575573965,0.000293795902977743,"Fyn/Ctnnd2/App/Ube3a/Epha4/Abi2/Cask/Nlgn3/Dctn1/Ephb1/Opa1/Srcin1/Dnm3/Afdn",14
"GO:1901879","GO:1901879","regulation of protein depolymerization","13/675","95/22853",4.3798184563733e-06,0.000364745301828831,0.000306075784932314,"Apc/Evl/Dmtn/Add3/Camsap1/Asph/Add1/Tmod2/Tpm1/Bmerb1/Camsap3/Sptan1/Clasp1",13
"GO:1901880","GO:1901880","negative regulation of protein depolymerization","12/675","81/22853",4.38962476014194e-06,0.000364745301828831,0.000306075784932314,"Apc/Evl/Dmtn/Add3/Camsap1/Add1/Tmod2/Tpm1/Bmerb1/Camsap3/Sptan1/Clasp1",12
"GO:0051495","GO:0051495","positive regulation of cytoskeleton organization","21/675","228/22853",4.52667223205505e-06,0.0003692941510042,0.000309892948785855,"Apc/Git1/Nin/Evl/Mtss1/Bin1/Spire1/Abi2/Cyfip1/Fchsd2/Flna/Plxna3/Dctn1/Tpm1/Fermt2/Limch1/Sh3pxd2b/Clip1/Gmfb/Ctnna2/Ap1ar",21
"GO:0061572","GO:0061572","actin filament bundle organization","18/675","175/22853",4.65997255672605e-06,0.000373380301107675,0.000313321839011449,"Cul3/Pls3/Evl/Dmtn/Mtss1/Spire1/Sorbs1/Src/Add1/Flna/Pik3r2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Phactr1/Clasp1",18
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","28/675","369/22853",5.72273512326671e-06,0.000450489692949083,0.000378028135474146,"Mef2c/Evl/Dmtn/Mtss1/Bin1/Spire1/Add3/Pam/Vangl2/Abi2/Add1/Cyfip1/Fchsd2/Flna/Pik3r2/Tmod2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Sptan1/Taok2/Gmfb/Ctnna2/Clasp1/Rhog/Ap1ar",28
"GO:0099590","GO:0099590","neurotransmitter receptor internalization","8/675","35/22853",6.45609288162219e-06,0.000499456702755841,0.000419118770191698,"Atad1/Sirt2/Numb/Scrib/Ophn1/Nedd4/Dnm3/Nrg1",8
"GO:0050684","GO:0050684","regulation of mRNA processing","16/675","147/22853",7.58008486711918e-06,0.000576359243826148,0.000483651487963152,"Celf2/Rbfox1/Rbm25/Hnrnpl/Zc3h14/Papola/Obi1/Acin1/Son/Celf4/Fxr1/Rbm5/Ythdc1/Srpk2/Snrnp70/Fam172a",16
"GO:0016570","GO:0016570","histone modification","32/675","460/22853",7.70705474249362e-06,0.000576359243826148,0.000483651487963152,"Kmt2a/Taf6l/Brd8/Ezh1/Sirt2/Ube2a/Kansl1/Sirt1/Mta1/App/Paxbp1/Usp16/Trip12/Rtf1/Tbl1xr1/Meaf6/Phf14/Ing3/Auts2/Ezh2/Atrx/Usp3/Hdac11/Rif1/Apbb1/Zzz3/Arid4b/Kmt5b/Setdb2/Mta2/Phf20l1/Prmt1",32
"GO:0048588","GO:0048588","developmental cell growth","23/675","275/22853",8.12246005356512e-06,0.000597466856726995,0.000501363927723942,"Eif2b2/Ptprs/Sema6a/Sirt1/Rtn4/Itsn2/Nin/App/Nedd4l/Slit1/Fn1/Sema6d/Fubp1/Macf1/Auts2/Cyfip1/Nlgn3/Plxna3/Map2k4/Sh3glb1/Smurf1/Nrg1/Afdn",23
"GO:0097061","GO:0097061","dendritic spine organization","13/675","101/22853",8.71095900152738e-06,0.00063042053290086,0.00052901698384488,"Fyn/Ctnnd2/App/Ube3a/Epha4/Abi2/Cask/Nlgn3/Ephb1/Opa1/Srcin1/Dnm3/Afdn",13
"GO:0060997","GO:0060997","dendritic spine morphogenesis","11/675","73/22853",9.27294879834607e-06,0.000660440019971092,0.000554207817070742,"Ctnnd2/Ube3a/Epha4/Abi2/Cask/Nlgn3/Ephb1/Opa1/Srcin1/Dnm3/Afdn",11
"GO:0010770","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","13/675","102/22853",9.71760583958424e-06,0.000681295271909601,0.000571708488292645,"Lims1/Numb/Dmtn/Dab2/Epha4/Cask/Flna/Ptprf/Sh3glb1/Fermt2/Opa1/Fbxo31/Afdn",13
"GO:0034453","GO:0034453","microtubule anchoring","7/675","27/22853",1.00815083268883e-05,0.000695934274811505,0.000583992798142178,"Nin/Cep20/Pcm1/Dctn1/Cep350/Camsap3/Clasp1",7
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","23/675","280/22853",1.089810326988e-05,0.000721076062706148,0.000605090513248775,"Eif2b2/Ptprs/Sema6a/Rtn4/Itsn2/Nin/App/Nedd4l/Slit1/Fn1/Vangl2/Sema6d/Macf1/Auts2/Cyfip1/Nlgn3/Plxna3/Cadm1/Tmtc3/Sh3glb1/Smurf1/Nrg1/Afdn",23
"GO:0110053","GO:0110053","regulation of actin filament organization","23/675","280/22853",1.089810326988e-05,0.000721076062706148,0.000605090513248775,"Evl/Dmtn/Mtss1/Bin1/Spire1/Add3/Abi2/Add1/Cyfip1/Fchsd2/Flna/Pik3r2/Tmod2/Tpm1/Phldb2/Fermt2/Limch1/Sh3pxd2b/Sptan1/Gmfb/Ctnna2/Clasp1/Ap1ar",23
"GO:0006397","GO:0006397","mRNA processing","32/675","468/22853",1.09278297891727e-05,0.000721076062706148,0.000605090513248775,"Celf2/Rbfox1/Rbm25/Tsen15/Hnrnpl/Zc3h14/Papola/Rbm26/Obi1/Acin1/App/Son/Paxbp1/Prpf40b/Celf4/Tcerg1/Sf3b1/Rprd1b/Fxr1/Rprd2/Zranb2/Tfip11/Cstf2/Rbm5/Srek1/Ythdc1/Tardbp/Plcb1/Rrp1b/Srpk2/Snrnp70/Fam172a",32
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","30/675","425/22853",1.11435098444497e-05,0.000724651140174577,0.000608090537202083,"Sipa1l2/Tsc2/Cul3/Git1/Rtn4/Shoc2/Map4k4/Vangl2/Ralgps2/Abi2/Arhgap1/Src/Dab1/G3bp2/Auts2/Cyfip1/Nucb2/Ophn1/Mapkap1/Ralgps1/Rapgef1/Tax1bp3/Madd/Rhoj/Nrg1/Phactr4/Garre1/Rhog/Ywhaq/Synj2bp",30
"GO:0034331","GO:0034331","cell junction maintenance","8/675","38/22853",1.24058413299495e-05,0.000795214429249766,0.000667303675747813,"Mtss1/Erc1/Ophn1/Cadm1/Fermt2/Erc2/Camsap3/Afdn",8
"GO:0050767","GO:0050767","regulation of neurogenesis","31/675","450/22853",1.29221170449236e-05,0.000816641396909469,0.000685284101848655,"Tsc2/Eif2b2/Ptprs/Sirt2/Sema6a/Rtn4/Nin/Numb/Ptk2/Bin1/Slit1/Fn1/Epha4/Vim/Sema6d/Dab1/Macf1/Ezh2/Cyfip1/Cask/Plxna3/Pcm1/Faim/Trak1/Ptprf/Aspm/Sh3glb1/Opa1/Fbxo31/Nrg1/Afdn",31
"GO:0034332","GO:0034332","adherens junction organization","9/675","50/22853",1.37556805642361e-05,0.000857246370718435,0.000719357739448428,"Numb/Mtss1/Plec/Epha4/Abi2/Add1/Fermt2/Camsap3/Afdn",9
